Ville,lat,lon
MARSEILLE,43.303,5.380
ARRAS,50.291,2.780
MONTAUBAN,44.018,1.352
COLMAR,48.073,7.358
REIMS,49.259,4.027
LUXEMBOURG,49.600,6.130
GRENOBLE,45.188,5.727
METZ,49.120,6.177
LYON,45.764,4.836
BELLEGARDE-SUR-VALSERINE,46.108,5.826
POITIERS,46.580,0.340
TOURS,47.394,0.689
ISSOUDUN,46.948,1.994
DOLE,47.090,5.492
CANNES,43.552,7.017
TOULON,43.124,5.928
ANTIBES,43.581,7.124
CROIX,50.678,3.149
RENNES,48.117,-1.683
VANNES,47.658,-2.760
NICE,43.704,7.262
LAROQUEBROU,44.969,2.194
NANTES,47.217,-1.543
CHATELLERAULT,46.818,0.546
BELFORT,47.637,6.863
MULHOUSE,47.742,7.340
ANGERS,47.464,-0.555
SAINT-NAZAIRE,47.273,-2.213
BAR-LE-DUC,48.773,5.161
CHALONS-EN-CHAMPAGNE,48.957,4.363
ANGOULEME,45.650,0.160
BORDEAUX,44.837,-0.579
TOULOUSE,43.611,1.454
LILLE,50.637,3.075
DIJON,47.323,5.027
MONTBARD,47.626,4.335
DAX,43.707,-1.053
PAU,43.296,-0.370
STRASBOURG,48.585,7.735
RIOM,45.894,3.118
AVIGNON,43.921,4.808
LE MANS,48.007,0.194
BRIVE-LA-GAILLARDE,45.150,1.533
BOURG-EN-BRESSE,46.205,5.226
VENDOME,47.793,1.066
THIONVILLE,49.358,6.169
VIERZON,47.223,2.067
SAINT-VINCENT-DE-TYROSSE,43.660,-1.302
LAVAL,48.070,-0.770
NANCY,48.689,6.176
EPINAL,48.180,6.451
NIORT,46.323,-0.464
CHAMBERY,45.564,5.918
UZERCHE,45.421,1.559
CHATEAUROUX,46.811,1.693
SAINT-ETIENNE,45.439,4.390
RETHEL,49.510,4.366
BOULOGNE-SUR-MER,50.726,1.614
SAINT-RAPHAEL,43.425,6.768
CHASSENEUIL-DU-POITOU,46.650,0.363
CLERMONT-FERRAND,45.780,3.108
LES ARCS,43.460,6.479
BRETENOUX,44.915,1.843
MORLAIX,48.577,-3.827
NEVERS,46.991,3.160
MOULINS,46.568,3.333
VITRY-LE-FRANCOIS,48.724,4.586
SAINT-MALO,48.649,-2.025
CALAIS,50.963,1.851
VICHY,46.127,3.424
NURIEUX,46.090,5.574
ANNECY,45.899,6.129
CAUSSADE,44.162,1.539
CAHORS,44.448,1.441
HAZEBROUCK,50.725,2.538
TOURCOING,50.694,3.162
AIX-EN-PROVENCE,43.529,5.447
LE CREUSOT,46.801,4.433
LA SOUTERRAINE,46.237,1.487
DUNKERQUE,51.034,2.377
LA ROCHELLE,46.160,-1.151
GOURDON,44.739,1.381
SABLE-SUR-SARTHE,47.842,-0.333
BETHUNE,50.530,2.640
LENS,50.428,2.831
BESANCON,47.238,6.024
ORLEANS,47.912,1.900
VITRE,48.125,-1.209
SURGERES,46.105,-0.752
AIX-LES-BAINS,45.689,5.915
DOUAI,50.367,3.077
AURAY,47.666,-2.985
MACON,46.306,4.833
MIRAMAS,43.582,5.000
AGEN,44.203,0.627
TARBES,43.232,0.078
BREST,48.390,-4.486
GUINGAMP,48.562,-3.150
SAINT-BRIEUC,48.514,-2.760
ARGENTON-SUR-CREUSE,46.588,1.518
HENDAYE,43.357,-1.775
BAYONNE,43.492,-1.475
LIMOGES,45.836,1.269
LIBOURNE,44.917,-0.242
LES SABLES-D'OLONNE,46.497,-1.783
LA ROCHE-SUR-YON,46.670,-1.426
BIGANOS,44.638,-0.965
SAINT-MAIXENT-L'ECOLE,46.412,-0.204
CHARLEVILLE-MEZIERES,49.773,4.720
MONTELIMAR,44.558,4.751
VALENCE,44.933,4.891
LORIENT,47.748,-3.365
ROSPORDEN,47.959,-3.831
NIMES,43.837,4.361
MONTPELLIER,43.605,3.877
ARCACHON,44.658,-1.166
VALENCIENNES,50.358,3.521
REDON,47.651,-2.084
REMIREMONT,48.017,6.589
BERCK,50.406,1.566
LAMBALLE,48.470,-2.516
ROUBAIX,50.691,3.174
BESANCON,47.238,6.024
SOUILLAC,44.894,1.477
ORANGE,44.137,4.808
SAINT-JEAN-DE-LUZ,43.388,-1.661
ANNEMASSE,46.194,6.236
THONON-LES-BAINS,46.370,6.480
SAINT-DIE-DES-VOSGES,48.279,6.948
QUIMPER,47.998,-4.098
QUIMPERLE,47.873,-3.549
FRASNE,46.857,6.162
SEDAN,49.702,4.939
ARLES,43.677,4.628
SAINT-DENIS-PRES-MARTEL,44.981,1.600
AURILLAC,44.926,2.444
DOL-DE-BRETAGNE,48.551,-1.751
ETAPLES,50.517,1.638
LOURDES,43.094,-0.046
HYERES,43.120,6.129
LANDERNEAU,48.450,-4.251
LE CROISIC,47.293,-2.514
LA BAULE-ESCOUBLAC,47.287,-2.392
MOUCHARD,46.976,5.797
LUNEVILLE,48.593,6.503
BIARRITZ,43.482,-1.558
EVIAN-LES-BAINS,46.400,6.591
ORTHEZ,43.488,-0.773
NARBONNE,43.184,3.004
AGDE,43.310,3.476
SETE,43.404,3.697
PLOUARET,48.617,-3.469
SAVERNE,48.742,7.362
SELESTAT,48.260,7.457
BEZIERS,43.341,3.214
PERPIGNAN,42.698,2.895
SARREBOURG,48.735,7.055
CHAMBORD,47.617,1.517
BLOIS,47.586,1.335